"DateTime","Total Volume","Price"
"2011-12-30 00:00:00",0,4.18
"2011-12-31 00:00:00",0,4.6
"2012-01-01 00:00:00",500418.41,5.06
"2012-01-02 00:00:00",0,5.14
"2012-01-03 00:00:00",0,4.97
"2012-01-04 00:00:00",0,5.23
"2012-01-05 00:00:00",601130.13,6.4
"2012-01-06 00:00:00",0,6.67
"2012-01-07 00:00:00",0,6.7
"2012-01-08 00:00:00",0,6.97
"2012-01-09 00:00:00",110500.07,6.5
"2012-01-10 00:00:00",0,6.45
"2012-01-11 00:00:00",0,6.78
"2012-01-12 00:00:00",0,6.67
"2012-01-13 00:00:00",0,6.6
"2012-01-14 00:00:00",0,6.59
"2012-01-15 00:00:00",0,6.91
"2012-01-16 00:00:00",0,6.85
"2012-01-17 00:00:00",0,5.8
"2012-01-18 00:00:00",0,6.03
"2012-01-19 00:00:00",164926.38,6.12
"2012-01-20 00:00:00",0,6.42
"2012-01-21 00:00:00",0,6.32
"2012-01-22 00:00:00",0,6.28
"2012-01-23 00:00:00",0,6.3
"2012-01-24 00:00:00",0,6.31
"2012-01-25 00:00:00",0,5.91
"2012-01-26 00:00:00",0,5.61
"2012-01-27 00:00:00",0,5.28
"2012-01-28 00:00:00",0,5.51
"2012-01-29 00:00:00",0,5.52
"2012-01-30 00:00:00",0,5.49
"2012-01-31 00:00:00",0,5.54
"2012-02-01 00:00:00",0,5.84
"2012-02-02 00:00:00",0,6.01
"2012-02-03 00:00:00",0,5.93
"2012-02-04 00:00:00",0,5.92
"2012-02-05 00:00:00",0,5.67
"2012-02-06 00:00:00",0,5.59
"2012-02-07 00:00:00",0,5.62
"2012-02-08 00:00:00",0,5.57
"2012-02-09 00:00:00",0,5.71
"2012-02-10 00:00:00",0,5.9
"2012-02-11 00:00:00",0,5.77
"2012-02-12 00:00:00",0,5.64
"2012-02-13 00:00:00",218410.92,5.46
"2012-02-14 00:00:00",724501.04,4.83
"2012-02-15 00:00:00",1950405.39,4.54
"2012-02-16 00:00:00",0,4.16
"2012-02-17 00:00:00",225000,4.5
"2012-02-18 00:00:00",633536.99,4.31
"2012-02-19 00:00:00",0,4.35
"2012-02-20 00:00:00",0,4.38
"2012-02-21 00:00:00",0,4.31
"2012-02-22 00:00:00",0,4.4
"2012-02-23 00:00:00",0,4.81
"2012-02-24 00:00:00",0,4.97
"2012-02-25 00:00:00",0,4.86
"2012-02-26 00:00:00",0,4.93
"2012-02-27 00:00:00",0,4.94
"2012-02-28 00:00:00",0,4.87
"2012-02-29 00:00:00",0,4.85
"2012-03-01 00:00:00",921246.33,4.93
"2012-03-02 00:00:00",0,4.73
"2012-03-03 00:00:00",0,4.64
"2012-03-04 00:00:00",0,4.78
"2012-03-05 00:00:00",0,4.94
"2012-03-06 00:00:00",0,4.99
"2012-03-07 00:00:00",0,4.95
"2012-03-08 00:00:00",0,4.88
"2012-03-09 00:00:00",0,4.89
"2012-03-10 00:00:00",0,4.83
"2012-03-11 00:00:00",0,4.9
"2012-03-12 00:00:00",0,4.91
"2012-03-13 00:00:00",0,5.14
"2012-03-14 00:00:00",146960.15,5.35
"2012-03-15 00:00:00",0,5.36
"2012-03-16 00:00:00",0,5.35
"2012-03-17 00:00:00",0,5.31
"2012-03-18 00:00:00",0,5.28
"2012-03-19 00:00:00",0,4.9
"2012-03-20 00:00:00",0,4.75
"2012-03-21 00:00:00",0,4.81
"2012-03-22 00:00:00",1034982.65,4.74
"2012-03-23 00:00:00",1139049.54,4.7
"2012-03-24 00:00:00",495474.76,4.67
"2012-03-25 00:00:00",0,4.49
"2012-03-26 00:00:00",366509.01,4.63
"2012-03-27 00:00:00",0,4.67
"2012-03-28 00:00:00",125773.02,4.78
"2012-03-29 00:00:00",0,4.79
"2012-03-30 00:00:00",237654.92,4.8
"2012-03-31 00:00:00",1771561.64,4.89
"2012-04-01 00:00:00",0,4.83
"2012-04-02 00:00:00",0,4.92
"2012-04-03 00:00:00",0,4.9
"2012-04-04 00:00:00",147900.05,4.93
"2012-04-05 00:00:00",0,4.9
"2012-04-06 00:00:00",125811.06,4.93
"2012-04-07 00:00:00",0,4.82
"2012-04-08 00:00:00",0,4.71
"2012-04-09 00:00:00",923280.82,4.81
"2012-04-10 00:00:00",246361.1,4.83
"2012-04-11 00:00:00",1676709.11,4.89
"2012-04-12 00:00:00",353781.39,4.89
"2012-04-13 00:00:00",348297.35,4.84
"2012-04-14 00:00:00",0,4.97
"2012-04-15 00:00:00",0,4.92
"2012-04-16 00:00:00",173207.26,4.95
